page,index,province,city,xkz_num,company_name,industry,valid_period,publish_date,mgmt_type,pdf_filename,file_size,status,detail_url,download_url
2,1,吉林省,吉林市,91220284MA16XA300U001Q,吉林省吉旺农业科技开发有限公司,有机肥料及微生物肥料制造,2026-08-23至2031-08-22,2026-08-04,简化管理,吉林省吉旺农业科技开发有限公司_91220284MA16XA300U001Q_排污许可证副本.pdf,65958,SUCCESS,https://permit.mee.gov.cn/perxxgkinfo/xkgkAction!xkgk.action?xkgk=getxxgkContent&dataid=7c4ef213cee24975a7a583139c9583da,https://permit.mee.gov.cn/perxxgkinfo/syssb/xkgg/xkgg!downloadFile.action?method=download&fileType=fbfile&datafileid=aa2849122da842fba6ca5ccda2b4f4a3&dataid=7c4ef213cee24975a7a583139c9583da
2,2,吉林省,吉林市,91220201569981093X001U,吉林省梓楗新型建材股份有限公司,建筑陶瓷制品制造,2026-08-25至2031-08-24,2026-06-29,简化管理,吉林省梓楗新型建材股份有限公司_91220201569981093X001U_排污许可证副本.pdf,67604,SUCCESS,https://permit.mee.gov.cn/perxxgkinfo/xkgkAction!xkgk.action?xkgk=getxxgkContent&dataid=b25e3b1ebda04a41b213ca6a5892463a,https://permit.mee.gov.cn/perxxgkinfo/syssb/xkgg/xkgg!downloadFile.action?method=download&fileType=fbfile&datafileid=f212e04e3c4448bebc13a28cd884aa62&dataid=b25e3b1ebda04a41b213ca6a5892463a
2,3,吉林省,长春市,91220101123998499H005Q,中国石油天然气股份有限公司吉林长春销售分公司梧桐加油站,机动车燃油零售,2025-12-10至2030-12-09,2025-12-10,简化管理,中国石油天然气股份有限公司吉林长春销售分公司梧桐加油站_91220101123998499H005Q_排污许可证副本.pdf,68298,SUCCESS,https://permit.mee.gov.cn/perxxgkinfo/xkgkAction!xkgk.action?xkgk=getxxgkContent&dataid=d14a59b0485f47509164b1d64063240d,https://permit.mee.gov.cn/perxxgkinfo/syssb/xkgg/xkgg!downloadFile.action?method=download&fileType=fbfile&datafileid=ae2fe17bf6b24f6381a09bbe04423b46&dataid=d14a59b0485f47509164b1d64063240d
2,4,吉林省,长春市,9122010166870696XF001X,中国石油天然气股份有限公司吉林长春销售分公司净月潭加油站,机动车燃油零售,2023-07-16至2028-07-15,2023-05-15,简化管理,中国石油天然气股份有限公司吉林长春销售分公司净月潭加油站_9122010166870696XF001X_排污许可证副本.pdf,66803,SUCCESS,https://permit.mee.gov.cn/perxxgkinfo/xkgkAction!xkgk.action?xkgk=getxxgkContent&dataid=72205ee493084758a5e967bf474c9990,https://permit.mee.gov.cn/perxxgkinfo/syssb/xkgg/xkgg!downloadFile.action?method=download&fileType=fbfile&datafileid=41065226745a4f6b94ee5f16169d45ba&dataid=72205ee493084758a5e967bf474c9990
2,5,吉林省,吉林市,93220221MA0Y340W72001Q,吉林隆源恒成号水稻种植农民专业合作社,农产品初加工活动,2026-08-25至2031-08-24,2026-08-03,简化管理,吉林隆源恒成号水稻种植农民专业合作社_93220221MA0Y340W72001Q_排污许可证副本.pdf,66109,SUCCESS,https://permit.mee.gov.cn/perxxgkinfo/xkgkAction!xkgk.action?xkgk=getxxgkContent&dataid=f974a35e86454e13948924e269fc47b4,https://permit.mee.gov.cn/perxxgkinfo/syssb/xkgg/xkgg!downloadFile.action?method=download&fileType=fbfile&datafileid=b185cac5b2ca419bba984243a751a446&dataid=f974a35e86454e13948924e269fc47b4
2,6,吉林省,白城市,91220821559794024X001U,镇赉县第四粮库有限公司,谷物仓储,2023-06-24至2028-06-23,2023-04-06,简化管理,镇赉县第四粮库有限公司_91220821559794024X001U_排污许可证副本.pdf,64817,SUCCESS,https://permit.mee.gov.cn/perxxgkinfo/xkgkAction!xkgk.action?xkgk=getxxgkContent&dataid=46e52edaac8240389f04cc2d8f6bb376,https://permit.mee.gov.cn/perxxgkinfo/syssb/xkgg/xkgg!downloadFile.action?method=download&fileType=fbfile&datafileid=e96e329efddd4cd798e0d0bfb5fc7940&dataid=46e52edaac8240389f04cc2d8f6bb376
2,7,吉林省,白城市,91220800696132684D001R,白城纯阳粮库有限责任公司,谷物仓储,2026-09-17至2031-09-16,2026-07-22,简化管理,白城纯阳粮库有限责任公司_91220800696132684D001R_排污许可证副本.pdf,64676,SUCCESS,https://permit.mee.gov.cn/perxxgkinfo/xkgkAction!xkgk.action?xkgk=getxxgkContent&dataid=dc7319245bb64b77ab107c6772ddce47,https://permit.mee.gov.cn/perxxgkinfo/syssb/xkgg/xkgg!downloadFile.action?method=download&fileType=fbfile&datafileid=fe0d681cb634498db468bf39a7da4192&dataid=dc7319245bb64b77ab107c6772ddce47
2,8,吉林省,白城市,92220802MA16FXWJ5U001R,白城市洮北区宏仓农副产品收购,农产品初加工活动,2026-09-02至2031-09-01,2026-07-24,简化管理,白城市洮北区宏仓农副产品收购_92220802MA16FXWJ5U001R_排污许可证副本.pdf,65134,SUCCESS,https://permit.mee.gov.cn/perxxgkinfo/xkgkAction!xkgk.action?xkgk=getxxgkContent&dataid=e355fa1b6d174892bfaee5e5c53eba32,https://permit.mee.gov.cn/perxxgkinfo/syssb/xkgg/xkgg!downloadFile.action?method=download&fileType=fbfile&datafileid=25a17f45042e439183d9417cff9fcb5b&dataid=e355fa1b6d174892bfaee5e5c53eba32
2,9,吉林省,白城市,91220821559793304M001Q,镇赉县黑鱼泡粮库有限公司,谷物仓储,2023-06-24至2028-06-23,2023-04-24,简化管理,镇赉县黑鱼泡粮库有限公司_91220821559793304M001Q_排污许可证副本.pdf,64731,SUCCESS,https://permit.mee.gov.cn/perxxgkinfo/xkgkAction!xkgk.action?xkgk=getxxgkContent&dataid=401c5ebd5621456faecbc88a1d56f974,https://permit.mee.gov.cn/perxxgkinfo/syssb/xkgg/xkgg!downloadFile.action?method=download&fileType=fbfile&datafileid=5e30962debc449c1b7da53aa31b9d8ab&dataid=401c5ebd5621456faecbc88a1d56f974
2,10,吉林省,延边朝鲜族自治州,91220204MA17PQEH09001Q,吉林路达路桥工程有限公司,其他非金属矿物制品制造,2026-09-16至2031-09-15,2026-06-23,简化管理,吉林路达路桥工程有限公司_91220204MA17PQEH09001Q_排污许可证副本.pdf,70519,SUCCESS,https://permit.mee.gov.cn/perxxgkinfo/xkgkAction!xkgk.action?xkgk=getxxgkContent&dataid=3ef7f809d6de4106ac15c004d1efd9e6,https://permit.mee.gov.cn/perxxgkinfo/syssb/xkgg/xkgg!downloadFile.action?method=download&fileType=fbfile&datafileid=fb1004dad71d4f9ab034ae0031ae7bd7&dataid=3ef7f809d6de4106ac15c004d1efd9e6
